Date,Price,Open,High,Low,Change %
10/23/2020,1.1859,1.1819,1.1866,1.1787,0.36%
10/22/2020,1.1816,1.1862,1.1868,1.1811,-0.38%
10/21/2020,1.1861,1.1822,1.1882,1.1821,0.34%
10/20/2020,1.1821,1.1769,1.1841,1.176,0.47%
10/19/2020,1.1766,1.1722,1.1795,1.1703,0.41%
10/16/2020,1.1718,1.1708,1.1746,1.1694,0.10%
10/15/2020,1.1706,1.1747,1.176,1.1688,-0.34%
10/14/2020,1.1746,1.1746,1.1772,1.1719,0.02%
10/13/2020,1.1744,1.1813,1.1817,1.1731,-0.58%
10/12/2020,1.1813,1.1819,1.1827,1.1786,-0.09%
10/9/2020,1.1824,1.1759,1.1832,1.1753,0.56%
10/8/2020,1.1758,1.1762,1.1782,1.1732,-0.02%
10/7/2020,1.176,1.1735,1.1783,1.1724,0.22%
10/6/2020,1.1734,1.1782,1.1809,1.1731,-0.40%
10/5/2020,1.1781,1.1716,1.1798,1.1707,0.58%
10/2/2020,1.1713,1.1748,1.1751,1.1695,-0.29%
10/1/2020,1.1747,1.1719,1.177,1.1717,0.25%
9/30/2020,1.1718,1.1743,1.1756,1.1684,-0.20%
9/29/2020,1.1742,1.1666,1.1746,1.166,0.67%
9/28/2020,1.1664,1.1638,1.1679,1.1615,0.29%
9/25/2020,1.163,1.1671,1.1686,1.1612,-0.36%
9/24/2020,1.1672,1.166,1.1688,1.1626,0.11%
9/23/2020,1.1659,1.1708,1.1719,1.1651,-0.40%
9/22/2020,1.1706,1.177,1.1774,1.1691,-0.54%
9/21/2020,1.1769,1.1848,1.1873,1.1731,-0.57%
9/18/2020,1.1837,1.1848,1.1871,1.1826,-0.08%
9/17/2020,1.1847,1.1816,1.1854,1.1737,0.28%
9/16/2020,1.1814,1.185,1.1883,1.1787,-0.26%
9/15/2020,1.1845,1.1865,1.1901,1.1839,-0.19%
9/14/2020,1.1868,1.184,1.1889,1.183,0.19%
9/11/2020,1.1845,1.1814,1.1875,1.1812,0.27%
9/10/2020,1.1813,1.1801,1.1918,1.18,0.09%
9/9/2020,1.1802,1.1777,1.1834,1.1753,0.20%
9/8/2020,1.1779,1.1817,1.1829,1.1765,-0.32%
9/7/2020,1.1817,1.1833,1.1849,1.1811,-0.18%
9/4/2020,1.1838,1.185,1.1866,1.1781,-0.09%
9/3/2020,1.1849,1.1852,1.1866,1.1789,-0.03%
9/2/2020,1.1853,1.1911,1.1931,1.1822,-0.48%
9/1/2020,1.191,1.1936,1.2012,1.1901,-0.22%
8/31/2020,1.1936,1.1899,1.1967,1.1883,0.28%
8/28/2020,1.1903,1.1822,1.192,1.181,0.69%
8/27/2020,1.1821,1.1831,1.1902,1.1762,-0.07%
8/26/2020,1.1829,1.1834,1.1841,1.1772,-0.03%
8/25/2020,1.1833,1.1793,1.1845,1.1783,0.39%
8/24/2020,1.1787,1.1787,1.1851,1.1783,-0.07%
8/21/2020,1.1795,1.186,1.1883,1.1754,-0.54%
8/20/2020,1.1859,1.1839,1.1869,1.1802,0.19%
8/19/2020,1.1836,1.1931,1.1954,1.183,-0.78%
8/18/2020,1.1929,1.187,1.1967,1.1865,0.51%
8/17/2020,1.1869,1.184,1.1882,1.1829,0.24%
8/14/2020,1.1841,1.1815,1.1852,1.1782,0.25%
8/13/2020,1.1812,1.1786,1.1865,1.1781,0.25%
8/12/2020,1.1782,1.174,1.1816,1.171,0.37%
8/11/2020,1.1739,1.1738,1.1808,1.1722,0.03%
8/10/2020,1.1736,1.1788,1.1803,1.1736,-0.44%
